Title,Image,Overview,Points,Link
Mechanic: Resurrection,https://image.tmdb.org/t/p/w185_and_h278_bestv2/tgfRDJs5PFW20Aoh1orEzuxW8cN.jpg,Arthur Bishop (interpretado por Jason Statham, Los mercenarios 3) pensó que había dejado atrás su pasado criminal, pero se encuentra de nuevo con él en el momento…,4.3,https://www.themoviedb.org/movie/278924?language=es
No respires,https://image.tmdb.org/t/p/w185_and_h278_bestv2/cNuut1f3Y8h4UUaIPZjbQK8DjaD.jpg,Un grupo de adolescentes creen haber encontrado la oportunidad de cometer el robo perfecto. Su objetivo será un ciego solitario poseedor de millones de dólares ocultos.…,5.8,https://www.themoviedb.org/movie/300669?language=es
Sully,https://image.tmdb.org/t/p/w185_and_h278_bestv2/43Gr00IiZtq2dOtYZQVOTwMf3kI.jpg,Film sobre la vida del Capitán Chesley “Sully” Sullenberger centrado en su famoso amerizaje en el río Hudson. Sully era un comandante anónimo que de la noche a la…,5.3,https://www.themoviedb.org/movie/363676?language=es
Juego de armas,https://image.tmdb.org/t/p/w185_and_h278_bestv2/b01HHdb5K0VywfcTEVLLbv6I7af.jpg,Basada en la historia real de dos jóvenes, David Packouz (Miles Teller) y Efraim Diveroli (Jonah Hill), que ganaron un contrato de 300 millones de dólares con el…,5.9,https://www.themoviedb.org/movie/308266?language=es
Blair Witch,https://image.tmdb.org/t/p/w185_and_h278_bestv2/kqmGs9q5WZkxKub60K6pU37GdvU.jpg,Un grupo de estudiantes se va de acampada pero descubren que no están solos, algo siniestro se esconde detrás de los árboles.,4.4,https://www.themoviedb.org/movie/351211?language=es
Ben-Hur,https://image.tmdb.org/t/p/w185_and_h278_bestv2/sRxazAAodkAWVPJighRAsls2zCo.jpg,La película retoma la esencia de la épica novela de Lew Wallace sobre la naturaleza de la fe. La historia gira en torno a un noble que, acusado falsamente sobrevive…,4.1,https://www.themoviedb.org/movie/271969?language=es
Bridget Jones's Baby,https://image.tmdb.org/t/p/w185_and_h278_bestv2/a4qrfP2fVWqasbUUdKCwjDGCTTM.jpg,Después de romper con Mark Darcy, la idea que Bridget Jones se había hecho de “serán felices y comerán perdices” no fue del todo como había imaginado. Con los cuarenta…,4.9,https://www.themoviedb.org/movie/95610?language=es
Blood Father,https://image.tmdb.org/t/p/w185_and_h278_bestv2/yonab1CSOkJLL1NExQhM67zrkx.jpg,Un ex-militar se reúne con su hija de 16 años, con la intención de protegerla de unos traficantes de droga que quieren matarla.,5.9,https://www.themoviedb.org/movie/309886?language=es
Snowden,https://image.tmdb.org/t/p/w185_and_h278_bestv2/e5vQ0HztqucuLn2FK80QD2GSkfc.jpg,Basada en el libro The Snowden files. The inside story of the world's most wanted man escrito por Luke Harding, y en un libro escrito por Anatoly Kucherena, el…,5.7,https://www.themoviedb.org/movie/302401?language=es
ARQ,https://image.tmdb.org/t/p/w185_and_h278_bestv2/mhJzobsp9GdmvJxYgsYGcpVSJOj.jpg,En un futuro distópico, un ingeniero atrapado en una casa y rodeado por una misteriosa banda de intrusos enmascarados debe proteger una tecnología que podría desarrollar…,7.1,https://www.themoviedb.org/movie/410199?language=es
The Beatles: Eight days a week,https://image.tmdb.org/t/p/w185_and_h278_bestv2/uv7syi4vRyjvWoB8qExbqnbuCu5.jpg,No tenemos una sinopsis en Español. Ayúdamos a ampliar nuestra base de datos añadiendo una.,4.0,https://www.themoviedb.org/movie/391698?language=es
Kubo y las dos cuerdas mágicas,https://image.tmdb.org/t/p/w185_and_h278_bestv2/oeUpeSMGzZE3BXzaIUDWzCGB46Y.jpg,Kubo es un joven desaliñado y bondadoso que se gana la vida humildemente y cuida de su madre en una apacible aldea costera. Tiene una tranquila existencia hasta…,6.8,https://www.themoviedb.org/movie/313297?language=es
Victoria,https://image.tmdb.org/t/p/w185_and_h278_bestv2/lFhiHSa4oXqs1cTwyAcf2INsFVL.jpg,No tenemos una sinopsis en Español. Ayúdamos a ampliar nuestra base de datos añadiendo una.,5.8,https://www.themoviedb.org/movie/377275?language=es
Peter y el dragón,https://image.tmdb.org/t/p/w185_and_h278_bestv2/zZZ3PiWncntnIPu33HwB6JY4yJx.jpg,Un joven huérfano busca refugio de sus abusivos padres adoptivos con la ayuda de una pequeña cría de dragón que vive en un faro.,5.3,https://www.themoviedb.org/movie/294272?language=es
Comanchería,https://image.tmdb.org/t/p/w185_and_h278_bestv2/rMev9yIIQkAk2odkMVnM8hszPVd.jpg,Un padre divorciado y su hermano ex-convicto recurren a un desesperado ardid para poder salvar la granja familiar en el Oeste de Texas. (FILMAFFINITY),6.9,https://www.themoviedb.org/movie/338766?language=es
